Country,gdp_total_usd_billion_cleaned,GDP_total_Year,GDP_per_capita_nominal_cleaned,GDP_per_capita_ppp_cleaned,GDP_growth_rate_cleaned,Inflation_rate_cleaned,Unemployment_rate_cleaned,Exports_Cleaned_Billion,Imports_Cleaned_Billion,Gov_Debt_Percent_GDP_Cleaned,Gov_Debt_Absolute_Billion_Cleaned,clean_currency,Links,Trade_Balance,Trade_Openness,GDP_Capita_Ratio,Debt_to_Income,Import_Export_Ratio,Is_Eurozone,Is_USD_Pegged,gdp_total_usd_billion_cleaned_log,GDP_per_capita_nominal_cleaned_log,GDP_per_capita_ppp_cleaned_log,Exports_Cleaned_Billion_log,Imports_Cleaned_Billion_log,Gov_Debt_Absolute_Billion_Cleaned_log,cluster,economic_class,scraped_paragraph,summary
Azerbaijan,78.87,2024,7600.0,26240.0,3.5,3.99,5.4,38.1,14.5,38.3975,66.02,Azerbaijani manat (AZN),https://en.wikipedia.org/wiki/Economy_of_Azerbaijan,5.345000000000003,66.69202485102068,0.33373301294282776,0.001059967567033665,0.8899957933786953,0,0,4.380400312929297,8.936035096566041,10.175078352087965,3.66612246699132,2.740840023925201,4.2049910823091645,3,Developing (Upper),"The economy of Azerbaijan is highly dependent on oil and gas exports, in particular since the completion of the Baku-Tbilisi-Ceyhan Pipeline . The transition to oil production in the late 1990s led to rapid economic growth over the period 1995–2014. [ 22 ] [ 23 ] Since 2014, GDP growth has slowed down substantially. [ 23 ]","Azerbaijan's economy heavily relies on oil and gas exports, especially after the Baku-Tbilisi-Ceyhan Pipeline was completed. The shift to oil production in the late 1990s fueled significant economic growth until 2014, but GDP growth has since decelerated considerably."
Slovenia,75.22,2024,36500.0,58150.0,2.6,2.7,6.0,66.61,74.99,63.9,38.86,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Slovenia,-4.572750000000001,79.94575223049205,0.61993269397237,0.0012846087704213242,1.1258069358955112,1,0,4.333623895445714,10.505094936455558,10.970798354703502,4.213755901102586,4.330601752681694,3.685373314784649,1,Developed,"The economy of Slovenia is a developed mixed economy . [ 23 ] [ 24 ] The country maintains a high quality of life and economic stability as well as above-average GDP-per-capita by purchasing power parity (PPP) at 91% of the EU average in 2023. [ 25 ] [ 4 ] The highest GDP-per-capita is in central Slovenia , around capital city Ljubljana . It is part of the Western Slovenia statistical region, which has a higher GDP-per-capita than eastern Slovenia. [ 26 ]","Slovenia's economy is developed and mixed, with a high quality of life and economic stability. The GDP per capita by purchasing power parity is above the EU average, with the highest levels found in central Slovenia, particularly around the capital city of Ljubljana. The Western Slovenia statistical region generally has a higher GDP per capita compared to eastern Slovenia."
Belarus,71.56,2024,8008.0,32.098,2.0,3.99,6.0,28.65,31.58,53.4,66.02,Belarusian ruble (BYN),https://en.wikipedia.org/wiki/Economy_of_Belarus,-2.9299999999999997,79.94575223049205,0.61993269397237,0.007171712686024864,1.1022687609075044,0,0,4.2844138058068815,8.988321188323683,3.4994728575967513,3.3894621254437345,3.4836986031738992,4.2049910823091645,3,Least Developed,"The economy of Belarus is an upper-middle income mixed economy . [ 2 ] As a post-Soviet transition economy , Belarus rejected most privatisation efforts in favour of retaining centralised political and economic controls by the state. [ 20 ] The highly centralized Belarusian economy emphasizes full employment and a dominant public sector. It has been described as a welfare state [ 21 ] practicing market socialism . [ 22 ] [ not in body ] Belarus is the world's 74th-largest economy by GDP.","Belarus operates as an upper-middle income mixed economy with a strong emphasis on centralized political and economic controls by the state. The economy prioritizes full employment and maintains a dominant public sector, functioning as a welfare state practicing market socialism. Belarus ranks as the 74th-largest economy globally by GDP."
Uganda,64.28,2024,1340.0,3900.0,4.0775,3.59,6.0,3.339,5.036,49.15,25.3,Ugandan shilling,https://en.wikipedia.org/wiki/Economy_of_Uganda,-1.6969999999999996,32.12459620397893,0.3435897435897436,0.007171712686024864,1.5082359988020364,0,0,4.178685710655851,7.201170883281678,8.268988209506656,1.4676439068162137,1.7977415409056023,3.269568939183719,0,Least Developed,"The economy of Uganda has great potential and appears poised for rapid growth and development. [ 18 ] Uganda is endowed with significant natural resources, including ample fertile land, regular rainfall, and mineral deposits. [ 19 ]","Uganda's economy shows promise for rapid growth and development, supported by abundant natural resources such as fertile land, regular rainfall, and mineral deposits. This potential highlights opportunities for strategic investments and policies to harness these resources for sustainable economic development in Uganda."
Bolivia,56.34,2024,4530.0,11570.0,2.0,3.59,6.0,9.06,9.996,38.3975,66.02,Bolivian Boliviano (BOB),https://en.wikipedia.org/wiki/Economy_of_Bolivia,-0.9359999999999999,33.82321618743344,0.3915298184961106,0.0021175453759723424,1.1033112582781457,0,0,4.048998460455224,8.418697944667139,9.356257246876337,2.3085671646715933,2.3975315703029993,4.2049910823091645,3,Developing (Lower),"The economy of Bolivia is the 89th-largest in the world in nominal terms and the 90th-largest in  purchasing power parity. Bolivia is classified by the World Bank to be a lower middle income country. [ 18 ] With a Human Development Index of 0.703, it is ranked 114th (high human development). [ 19 ] Driven largely by its natural resources, Bolivia has become a region leader in measures of economic growth, fiscal stability and foreign reserves, [ 20 ] although it remains a historically poor country.
The Bolivian economy has had a historic single-commodity focus. [ 21 ] From silver to tin to coca , Bolivia has enjoyed only occasional periods of economic diversification. [ 21 ] Political instability and difficult topography have constrained efforts to modernize the agricultural sector. [ 21 ] Similarly, relatively low population growth coupled with low life expectancy has kept the labor supply in flux and prevented industries from flourishing. [ 21 ] Rampant inflation and corruption previously created development challenges, [ 21 ] but in the early twenty-first century the fundamentals of its economy showed unexpected improvement, leading Moody's Investors Service to upgrade Bolivia's economic rating in 2010 from B2 to B1. [ 22 ] The mining industry, especially the extraction of natural gas and zinc , currently dominates Bolivia's export economy. [ 21 ]","Bolivia's economy ranks 89th in the world in nominal terms and 90th in purchasing power parity, classified as a lower middle-income country with a Human Development Index of 0.703. The economy has historically focused on single commodities like silver, tin, and coca, with challenges in diversification due to political instability and topographical constraints. Despite past issues with inflation and corruption, recent improvements in economic fundamentals have led to upgrades in economic ratings, with the mining industry, particularly natural gas and zinc extraction, dominating exports."
Tunisia,56.29,2024,4436.0,14724.0,3.1,3.59,6.0,19.06,21.57,63.9,66.02,Tunisian dinar (TND),https://en.wikipedia.org/wiki/Economy_of_Tunisia,-2.5100000000000016,72.17978326523361,0.33373301294282776,0.004774517794077696,1.1316894018887724,0,0,4.048126088420487,8.39773375137891,9.597302008519787,2.9987277825337895,3.1166215908294443,4.2049910823091645,3,Developing (Lower),"The economy of Tunisia is in the process of being liberalized after decades of heavy state direction and participation in the country's economy. Prudent economic and fiscal planning has resulted in moderate but sustained growth for over a decade. Tunisia's economic growth historically has depended on oil , phosphates , agri-food products , car parts manufacturing , and tourism . In the World Economic Forum Global Competitiveness Report for 2015–2016, Tunisia ranks in 92nd place. [ 22 ]","Tunisia's economy is transitioning towards liberalization from heavy state control, leading to moderate and sustained growth. Key sectors driving economic growth include oil, phosphates, agri-food products, car parts manufacturing, and tourism. The country ranks 92nd in the World Economic Forum Global Competitiveness Report for 2015-2016."
Jordan,56.1,2024,4900.0,11510.0,2.6,3.59,6.0,15.9,31.5,63.9,66.02,Jordanian dinar (JOD),https://en.wikipedia.org/wiki/Economy_of_Jordan,-4.572750000000001,79.94575223049205,0.4257167680278019,0.007171712686024864,1.9412932251235007,0,0,4.044804116661965,8.497194544909547,9.351058378915061,2.8273136219290276,3.481240089335692,4.2049910823091645,0,Developing (Lower),"The economy of Jordan is classified by the World Food Programme as an upper-middle income economy, as well as being poor in resources with limited land for agriculture. [ 1 ] Jordan 's GDP per capita rose by 351% in the 1970s, declined 30% in the 1980s, and rose 36% in the 1990s. [ 17 ] After King Abdullah II 's accession to the throne in 1999, liberal economic policies were introduced. Jordan's economy had been growing at an annual rate of 8% between 1999 and 2008. However, growth  slowed to 2% after the Arab Spring in 2011. The substantial increase of the population, coupled with slowed economic growth and rising public debt, led to a worsening of poverty and unemployment in the country. As of 2023, Jordan has a GDP of US$50.85 billion, ranking it 89th worldwide. [ 18 ]","Jordan's economy has experienced fluctuations in GDP per capita over the decades, with significant growth in the 1970s and 1990s, but a decline in the 1980s. Following the introduction of liberal economic policies in 1999, the economy grew at an annual rate of 8% until 2008, but slowed to 2% after the Arab Spring in 2011. The country faces challenges such as a growing population, rising public debt, and increasing poverty and unemployment rates. Jordan's current GDP stands at US$50.85 billion, ranking 89th globally."
Cameroon,56.01,2024,1870.0,5760.0,3.6,3.59,6.0,4.732,4.812,38.3975,66.02,CFA franc (CFA),https://en.wikipedia.org/wiki/Economy_of_Cameroon,-0.08000000000000007,32.12459620397893,0.33373301294282776,0.00640625,1.0169061707523246,0,0,4.043226691043491,7.534228326274089,8.658866349732383,1.7460645099659255,1.7599247457080365,4.2049910823091645,0,Developing (Lower),"The economy of Cameroon was one of the most prosperous in Africa for a quarter of a century after independence. The drop in commodity prices for its principal exports – petroleum , cocoa , coffee , and cotton – in the mid-1980s, combined with an overvalued currency and economic mismanagement, led to a decade-long recession . Real per capita GDP fell by more than 60% from 1986 to 1994. The current account and fiscal deficits widened, and foreign debt grew. Yet because of its oil reserves and favorable agricultural conditions, Cameroon still has one of the best-endowed primary commodity economies in sub-Saharan Africa . [ 16 ]","Cameroon's economy, once prosperous, faced a significant downturn in the mid-1980s due to falling commodity prices and economic mismanagement. This led to a decade-long recession, with real per capita GDP dropping by over 60% from 1986 to 1994. Despite these challenges, Cameroon's oil reserves and favorable agricultural conditions position it as one of the best-endowed primary commodity economies in sub-Saharan Africa."
Macau,53.35,2024,76314.0,134042.0,4.0775,2.7,6.0,1.45,11.55,38.3975,66.02,Macanese pataca (MOP),https://en.wikipedia.org/wiki/Economy_of_Macau,-4.572750000000001,32.12459620397893,0.5693290162784799,0.001059967567033665,1.9412932251235007,0,0,3.9954446135672184,11.242624790349222,11.80591592297948,0.8960880245566356,2.529720665577793,4.2049910823091645,1,Developed,"The economy of Macau is a highly developed market economy . Macau's economy has remained one of the most open in the world since its handover to China in 1999. Apparel exports and gambling -related tourism are mainstays of the economy. Since Macau has little arable land and few natural resources, it depends on mainland China for most of its food, fresh water, and energy imports. Japan and Hong Kong are the main suppliers of raw materials and capital goods. Although Macau was hit hard by the 1997–98 Asian financial crisis and the early 2000s recession , its economy grew approximately 13.1% annually on average between 2001 and 2006. [ 18 ] Macau is a full Member of the World Trade Organization . [ 19 ] Public security has greatly improved after handover to the People's Republic of China. [ 20 ] With the tax revenue from the profitable gambling industry, the Macau government is able to introduce the social welfare program of 15 years of free education to all Macau citizens. [ 21 ] In 2015, Macau's economy saw a sharp decrease (-26.4% year-on-year in Q2 2015) due to the reduced spending by visitors from Mainland China since the Anti-corruption campaign under Xi Jinping . [ 22 ]","Macau's economy is highly developed and relies heavily on apparel exports and gambling-related tourism. Despite challenges such as limited natural resources and past economic crises, Macau has experienced significant growth, particularly in the early 2000s. The government has leveraged tax revenue from the gambling industry to fund social welfare programs, such as providing 15 years of free education to all citizens. However, recent declines in visitor spending from Mainland China have impacted the economy."
Cambodia,49.8,2024,2870.0,8650.0,4.0,2.7,6.0,26.16,28.5,38.3975,66.02,Riel (KHR),https://en.wikipedia.org/wiki/Economy_of_Cambodia,-2.34,79.94575223049205,0.33373301294282776,0.00223121387283237,1.0894495412844036,0,0,3.927896354584436,7.962415680121064,9.065430200180375,3.3017453026904953,3.3843902633457743,4.2049910823091645,3,Developing (Lower),"Cambodia 's economy that currently follows an open market system ( market economy ) and has seen rapid economic progress in the last decade. [ 18 ] Cambodia had a gross domestic product (GDP) of $28.54 billion in 2022. [ 19 ] Per capita income , although rapidly increasing, is low compared with most neighboring countries. Cambodia's two largest industries are textiles and tourism , while agricultural activities remain the main source of income for many Cambodians living in rural areas. [ 20 ] The service sector is heavily concentrated on trading activities and catering-related services. Recently, Cambodia has reported that oil and natural gas reserves have been found offshore. [ 21 ] In recent years, illicit economic activities like cyber scam center operations have become an increasingly prominent of Cambodia's economy, representing as much as 40% of Cambodia's official GDP in 2024. [ 22 ]","Cambodia's open market economy has shown significant growth, with a GDP of $28.54 billion in 2022. Despite increasing per capita income, it remains low compared to neighboring countries. The economy is driven by industries such as textiles, tourism, and agriculture, with emerging sectors like oil and natural gas exploration. However, illicit activities like cyber scams are a growing concern, accounting for a significant portion of the country's GDP."
Bahrain,47.83,2024,29035.0,65888.0,2.8,2.7,1.1,40.344,32.374,63.9,66.02,Bahraini dinar (BHD),https://en.wikipedia.org/wiki/Economy_of_Bahrain,5.345000000000003,79.94575223049205,0.440672049538611,0.0020337542496357457,0.8899957933786953,0,0,3.888344878073569,10.276291718404732,11.095726786982862,3.7219273081601365,3.507777153724711,4.2049910823091645,3,Developed,"The economy of Bahrain is no longer dependent upon oil and gas — as of 2024, the extraction of oil and natural gas is the third biggest sector in the economy. [ 15 ] Bahrain advocates for a mixed economy system . [ 16 ] [ 17 ] The Bahraini Dinar is the second-highest-valued currency unit in the world. [ 18 ] Since the late 20th century, Bahrain has heavily invested in the banking and tourism sectors. [ 19 ] In 2008, Bahrain was named the world's fastest-growing financial center by the City of London's Global Financial Centres Index . [ 20 ] [ 21 ] Bahrain's banking and financial services sector, particularly Islamic banking , have benefited from the regional boom driven by demand for oil. [ 22 ] Petroleum is Bahrain's most exported product, accounting for 60% of export receipts, 70% of government revenues, and 11% of GDP . [ 23 ] Aluminum is the second most exported product, followed by finance and construction materials. [ 23 ]","Bahrain's economy has diversified away from oil and gas, with the extraction sector now ranking third in importance. The country follows a mixed economy system and has heavily invested in banking and tourism since the late 20th century. Bahrain's banking and financial services sector, particularly Islamic banking, have thrived due to regional demand driven by the oil industry, with petroleum being the most exported product."
Libya,47.48,2024,6482.0,17800.0,4.0775,2.7,18.74,32.38,25.406,38.3975,66.02,Libyan dinar (LYD),https://en.wikipedia.org/wiki/Economy_of_Libya,5.345000000000003,79.94575223049205,0.3641573033707865,0.001059967567033665,0.8899957933786953,0,0,3.881151341761059,8.776938645174996,9.787009914477434,3.507956918233689,3.273591257057009,4.2049910823091645,3,Developing (Upper),"The economy of Libya depends primarily on revenues from the petroleum sector , which represents over 95% of export earnings and 60% of GDP . [ 12 ] These oil revenues and a small population have given Libya one of the highest nominal per capita GDP in Africa . [ 13 ] [ 12 ]","Libya's economy heavily relies on the petroleum sector, with oil revenues accounting for over 95% of export earnings and 60% of GDP. This has contributed to one of the highest nominal per capita GDP figures in Africa due to the combination of significant oil resources and a relatively small population."
Nepal,46.08,2024,1460.0,5715.0,4.0,3.99,6.0,2.13,11.8,41.38,66.02,Nepalese rupee (NPR),https://en.wikipedia.org/wiki/Economy_of_Nepal,-4.572750000000001,32.12459620397893,0.33373301294282776,0.007171712686024864,1.9412932251235007,0,0,3.851848282392076,7.2868764117507,8.651024539049757,1.1410330045520618,2.5494451709255714,4.2049910823091645,0,Developing (Lower),"The economy of Nepal is a developing category and is largely dependent on agriculture and remittances . [ 6 ] Until the mid-20th century Nepal was an isolated pre-industrial society, which entered the modern era in 1951 without schools, hospitals, roads, telecommunications , electric power, industry, or civil service. The country has, however, made progress toward sustainable economic growth since the 1950s. The country was opened to economic liberalization , leading to economic growth and improvement in living standards when compared to the past. The biggest challenges faced by the country in achieving higher economic development are the frequent changes in political leadership, as well as corruption .","Nepal's economy is primarily reliant on agriculture and remittances, with a history of transitioning from an isolated pre-industrial society to a more modern economy since the 1950s. The country has seen improvements in economic growth and living standards due to economic liberalization, but challenges persist, including political instability and corruption hindering further development."
Latvia,45.54,2024,24222.0,43526.0,2.4,2.7,6.8,20.73,25.49,43.8,19.9,Euro (EUR),https://en.wikipedia.org/wiki/GDP_of_Latvia,-4.572750000000001,79.94575223049205,0.55649496852456,0.001059967567033665,1.2296189097925712,1,0,3.8403121578741457,10.095057874011232,10.681136714183795,3.078693794268338,3.2767673032839784,3.039749158970765,1,Developed,"The economy of Latvia is a developed mixed economy . Part of the European single market , the nation has held accommodative foreign policy is trades extensively. Latvia has been a member of the World Trade Organization (WTO) since 1999, a member of the European Union since 2004, a member of the Eurozone since 2014 and a member of the OECD since 2016. [ 36 ] [ 37 ] It is ranked the 14th in the world by the Ease of Doing Business Index compiled by the World Bank Group . [ 38 ] According to the Human Development Report 2023-24 by the United Nations Development Programme , Latvia has a HDI score of 0.879 (2022). [ 39 ] Due to its geographical location, transit services are highly developed, along with timber and wood processing , agriculture and food products, as well as manufacturing of machinery and electronic devices.","Latvia's economy is a developed mixed economy that is part of the European single market and engages in extensive international trade. The country has been a member of the WTO since 1999, the EU since 2004, the Eurozone since 2014, and the OECD since 2016. Latvia ranks 14th in the world in the Ease of Doing Business Index and has a Human Development Index score of 0.879. Key industries include transit services, timber and wood processing, agriculture, food products, and manufacturing of machinery and electronic devices."
Paraguay,45.46,2024,6520.0,19570.0,3.8,3.59,6.0,11.73,11.35,38.3975,66.02,Paraguayan guaraní (PYG),https://en.wikipedia.org/wiki/Economy_of_Paraguay,0.3800000000000008,50.769907611086666,0.33373301294282776,0.001059967567033665,0.9676044330775788,0,0,3.838591727342263,8.782783017393202,9.88180415770497,2.543961412569315,2.513656063073986,4.2049910823091645,3,Developing (Upper),"The economy of Paraguay is a market economy that is highly dependent on agriculture products. In recent years, Paraguay 's economy has grown as a result of increased agricultural exports, especially soybeans. Paraguay has the economic advantages of a young population and vast hydroelectric power . Its disadvantages include the few available mineral resources , and political instability . The government welcomes foreign investment . [ 16 ]","Paraguay's market economy is heavily reliant on agricultural products, with recent growth driven by increased soybean exports. The country benefits from a young population and abundant hydroelectric power resources, but faces challenges due to limited mineral reserves and political instability. The government is open to foreign investment to support economic development."
Estonia,45.0,2024,31855.0,45122.0,2.2,2.7,6.0,18.2,21.2,38.3975,2.4,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Estonia,-3.0,79.94575223049205,0.61993269397237,0.001059967567033665,1.164835164835165,1,0,3.828641396489095,10.368981026303977,10.717147373323323,2.954910279033736,3.100092288878234,1.2237754316221157,1,Developed,"The economy of Estonia is rated advanced by the World Bank , i.e. with high quality of life and advanced infrastructure relative to less industrialized nations. Estonia is a member of the European Union , the eurozone , and the OECD . [ 20 ] The economy is heavily influenced by developments in the Finnish and Swedish economies. [ 21 ]","Estonia's economy is considered advanced by the World Bank, boasting a high quality of life and advanced infrastructure compared to less industrialized nations. As a member of the European Union, the eurozone, and the OECD, Estonia's economy is closely tied to developments in the Finnish and Swedish economies."
Cyprus,38.74,2024,41132.0,65088.0,2.5,2.7,4.8,5.16,14.8,63.9,21.83,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Cyprus,-4.572750000000001,51.52297367062467,0.61993269397237,0.001059967567033665,1.9412932251235007,1,0,3.6823582371236707,10.624565998024766,11.083510843105353,1.8180767775454285,2.760009940032921,3.1280754605417043,1,Developed,"The economy of Cyprus is a high-income economy as classified by the World Bank , [ 2 ] and was included by the International Monetary Fund in its list of advanced economies in 2001. [ 1 ] [ 31 ] Cyprus adopted the euro as its official currency on 1 January 2008, replacing the Cypriot pound at an irrevocable fixed exchange rate of CYP 0.585274 per €1. [ 32 ]","Cyprus is considered a high-income economy by the World Bank and was recognized as an advanced economy by the International Monetary Fund in 2001. The country adopted the euro as its official currency on January 1, 2008, replacing the Cypriot pound at a fixed exchange rate of CYP 0.585274 per €1."
Zimbabwe,38.17,2024,2200.0,5410.0,4.0775,3.99,6.0,6.59,8.68,58.47,66.02,Zimbabwe Gold,https://en.wikipedia.org/wiki/Economy_of_Zimbabwe,-2.09,40.005239717055275,0.4066543438077634,0.007171712686024864,1.3171471927162368,0,0,3.66791114767774,7.696667081526462,8.596189197642735,2.0268315914075385,2.2700619012884857,4.2049910823091645,0,Developing (Lower),The economy of Zimbabwe is a gold standard based economy. Zimbabwe has a $44 billion dollar informal economy in PPP terms which translates to 64.1% of the total economy. [ 21 ] Agriculture and mining largely contribute to exports. The economy is estimated to be at $73 billion at the end of 2023. [ 22 ],"Zimbabwe's economy is primarily driven by agriculture and mining, with a significant informal economy valued at $44 billion in PPP terms, accounting for 64.1% of the total economy. The country's economic growth is projected to reach $73 billion by the end of 2023, highlighting the importance of these sectors for export and overall economic development."
Honduras,38.17,2024,3520.0,7930.0,3.3,3.59,6.0,8.675,11.32,39.5,66.02,Honduran Lempira (HNL),https://en.wikipedia.org/wiki/Economy_of_Honduras,-2.6449999999999996,52.384071260151956,0.44388398486759145,0.00498108448928121,1.304899135446686,0,0,3.66791114767774,8.166500319155052,8.97853441008332,2.2695452389158457,2.511223958105374,4.2049910823091645,0,Developing (Lower),"The economy of Honduras is based mostly on agriculture , which accounts for 14% of its gross domestic product (GDP) in 2013. The country's leading export is coffee (US$340 million), which accounted for 22% of the total Honduran export revenues. Bananas, formerly the country's second-largest export until being virtually wiped out by 1998's Hurricane Mitch , recovered in 2000 to 57% of pre-Mitch levels. Cultivated shrimp is another important export sector. Since the late 1970s, towns in the north began industrial production through maquiladoras , especially in San Pedro Sula and Puerto Cortés . [ 15 ]","Honduras has an economy heavily reliant on agriculture, with coffee being the top export contributing significantly to export revenues. The country also saw a recovery in banana exports post-Hurricane Mitch in 2000. Additionally, industrial production through maquiladoras in towns like San Pedro Sula and Puerto Cortés has been a growing sector since the late 1970s."
El Salvador,36.75,2024,5893.0,13753.0,3.1,3.59,6.0,8.491,15.575,49.15,66.02,Bitcoin (XBT),https://en.wikipedia.org/wiki/Economy_of_El_Salvador,-4.572750000000001,65.48571428571428,0.4284883298189486,0.003573765723842071,1.8342951360263808,0,0,3.6309854756950335,8.68169016329764,9.529084969879781,2.250343981148355,2.807895536071926,4.2049910823091645,0,Developing (Lower),"The economy of El Salvador has experienced relatively low rates of GDP growth, in comparison to other developing countries . Rates have not risen above the low single digits in nearly two decades. [ 15 ] The Salvadoran economy is characterized by income inequality, [ 16 ] with 37.8% of the population below the poverty line. [ 17 ]","El Salvador's economy has seen modest GDP growth rates over the past two decades, staying in the low single digits. The country faces significant income inequality, with almost 38% of the population living below the poverty line. Addressing these challenges will be crucial for sustainable economic development in El Salvador."
Georgia,35.35,2024,9570.0,30750.0,4.0775,3.6,13.9,6.09,15.43,39.3,66.02,Georgian lari (GEL),https://en.wikipedia.org/wiki/Economy_of_Georgia_(country),-4.572750000000001,60.87694483734087,0.33373301294282776,0.0012780487804878048,1.9412932251235007,0,0,3.5931942039795284,9.166492972195906,10.333677793031093,1.958685340544036,2.799108932049177,4.2049910823091645,0,Developed,"The economy of Georgia is an emerging free market economy. Its gross domestic product fell sharply following the dissolution of the Soviet Union but recovered in the mid-2000s, growing in double digits thanks to the economic and democratic reforms brought by the peaceful Rose Revolution . Georgia continued its economic progress since ""moving from a near-failed state in 2003 to a relatively well-functioning market economy in 2014"". [ 26 ] In 2007, the World Bank named Georgia the World's number one economic reformer. [ 27 ]","Georgia's economy, transitioning from a post-Soviet state, experienced significant growth in the mid-2000s due to economic and democratic reforms post the Rose Revolution. The World Bank recognized Georgia as the top economic reformer in 2007, marking its transformation from a near-failed state in 2003 to a well-functioning market economy by 2014."
Iceland,35.31,2024,90110.0,80320.0,2.0,3.99,3.56,7.31,9.85,63.9,66.02,Icelandic króna (ISK),https://en.wikipedia.org/wiki/Economy_of_Iceland,-2.54,48.598130841121495,0.61993269397237,0.0011939741035856574,1.3474692202462382,0,0,3.5920931854262443,11.408797522714949,11.293786385047257,2.1174596088673567,2.3841650799864684,4.2049910823091645,1,Developed,"The economy of Iceland is a highly developed mixed market economy . In 2011, the gross domestic product (GDP) was US$ 12 billion. By 2018, it had increased to a nominal GDP of US$ 27 billion, and by 2025, it reached US$ 35 billion. As of 2025, it has the fifth highest nominal GDP per capita ($91,000) and fourteenth highest GDP per capita by PPP ($81,000). [ 19 ] In 2025 Iceland topped the Human Development Index .","Iceland's economy has shown significant growth over the years, with its GDP increasing from US$12 billion in 2011 to US$35 billion in 2025. The country boasts the fifth highest nominal GDP per capita at $91,000 and ranks fourteenth in GDP per capita by PPP at $81,000. Additionally, Iceland led the Human Development Index in 2025."
Senegal,34.73,2024,1810.0,5500.0,4.0775,3.59,6.0,2.362,5.217,48.3,66.02,,https://en.wikipedia.org/wiki/Economy_of_Senegal,-2.8549999999999995,32.12459620397893,0.33373301294282776,0.007171712686024864,1.9412932251235007,0,0,3.5759906720353185,7.501634457883413,8.612685172875459,1.2125360349864238,1.8272874752872004,4.2049910823091645,0,Developing (Lower),"The economy of Senegal is driven by mining, construction, tourism, fishing and agriculture, which are the main sources of employment in rural areas. Natural resources include iron, zircon, gold, phosphates, and now oil and gas. In the past Senegal's economy gained most of its foreign exchange from fish , phosphates , groundnuts , tourism . One of the historically dominant parts of the economy, agricultural , is highly vulnerable to environmental conditions such as variations in rainfall and climate, and fluctuations in world commodity prices . It is a member of the World Trade Organization .","Senegal's economy relies on diverse sectors including mining, construction, tourism, fishing, and agriculture, with natural resources such as iron, zircon, gold, phosphates, and oil and gas driving economic growth. The country historically earned foreign exchange from fish, phosphates, groundnuts, and tourism. However, the agricultural sector faces vulnerability to environmental factors and global commodity price fluctuations. Senegal is a member of the World Trade Organization, indicating its commitment to international trade regulations."
Haiti,33.55,2024,2670.0,3040.0,2.0,3.59,6.0,0.96,3.621,38.3975,66.02,Haitian gourde (HTG),https://en.wikipedia.org/wiki/Economy_of_Haiti,-2.661,32.12459620397893,0.61993269397237,0.007171712686024864,1.9412932251235007,0,0,3.542407550213679,7.890208213109961,8.019941687677365,0.6729444732424258,1.5306111318881295,4.2049910823091645,0,Least Developed,"Haiti has a free market economy [ 11 ] [ 12 ] [ 13 ] with low labor costs. A republic, it was a French colony before gaining independence in an uprising by its enslaved people. It faced embargoes and isolation after its independence as well as political crises punctuated by foreign interventions and devastating natural disasters. Haiti's estimated population in 2018 was 11,439,646. [ 14 ] [ 15 ] The Economist reported in 2010:
""Long known as the poorest country in the Western hemisphere, Haiti has stumbled from one crisis to another since the Duvalier ( François Duvalier ) years."" [ 16 ]","Haiti operates a free market economy with low labor costs, stemming from its history as a former French colony that gained independence through a slave uprising. The country has faced challenges such as embargoes, political crises, foreign interventions, and natural disasters, leading to economic struggles. With an estimated population of 11,439,646 in 2018, Haiti has been plagued by ongoing poverty and instability, as highlighted by The Economist's characterization of it as the poorest country in the Western hemisphere."
Papua New Guinea,32.84,2024,2565.0,3757.0,4.0775,3.59,6.0,11.0,4.25,38.3975,66.02,kina (PGK),https://en.wikipedia.org/wiki/Economy_of_Papua_New_Guinea,5.345000000000003,46.43727161997563,0.61993269397237,0.007171712686024864,0.8899957933786953,0,0,3.521643534738023,7.850103545175582,8.231642179973411,2.4849066497880004,1.6582280766035324,4.2049910823091645,3,Least Developed,"The economy of Papua New Guinea (PNG) is largely underdeveloped with the vast majority of the population living below the poverty line. [ 22 ] It is dominated by the agricultural, forestry, and fishing sector and the minerals and energy extraction sector. The agricultural, forestry, and fishing sector accounts for most of the labour force of PNG while the minerals and energy extraction sector, including gold, copper, oil and natural gas is responsible for most of the export earnings. [ 23 ] [ 22 ]","Papua New Guinea's economy is primarily driven by the agricultural, forestry, and fishing sector, which employs a significant portion of the labor force. The minerals and energy extraction sector, particularly gold, copper, oil, and natural gas, plays a crucial role in generating export earnings for the country. However, despite these sectors, a large portion of the population in PNG still lives below the poverty line, indicating the need for targeted economic development strategies."
